"Add Recipient","افزودن گیرنده"
"Allow for Guests","اجازه برای مهمانان"
"An invalid email address for recipient was entered.","یک آدرس ایمیل نامعتبر برای گیرنده وارد شده بود."
"At least one recipient must be specified.","دست کم یک گیرنده باید مشخص شده باشد."
"Back","بازگشت"
"Catalog Product Email to a Friend","ایمیل محصول کاتالوگ به یک دوست"
"Email Address","آدرس ایمیل"
"Email Address:","آدرس ایمیل:"
"Email Templates","قالب‌های ایمیل"
"Email to a Friend","ایمیل به یک دوست"
"Email:","ایمیل:"
"Enabled","ممکن‌شده"
"Invalid Sender Information","اطلاعات فرستنده نامعتبر"
"Invalid sender email.","ایمیل فرستنده نامعتبر."
"Limit Sending By","محدودیت ارسال با"
"Max Products Sent in 1 Hour","بیشینه محصولات در 1 ساعت ارسال شد"
"Max Recipients","بیشینه گیرندگان"
"Maximum %d email addresses allowed.","بیشینه %d آدرس ایمیل مجاز شده."
"Message:","پیام:"
"Name","نام"
"Name:","نام:"
"No more than %d emails can be sent at a time.","هم‌زمان بیشتر از %d ایمیل نمی‌توان فرستاد."
"Please define a correct Cookie instance.","لطفا یک کوکی نمونه‌ی صحیح تعریف نمایید."
"Please define a correct Product instance.","لطفا یک محصول نمونه‌ی صحیح تعریف نمایید."
"Please define the correct Sender information.","لطفا اطلاعات فرستنده‌ی صحیح تعریف نمایید."
"Recipient:","گیرنده:"
"Remove Email","برداشتن ایمیل"
"Select Email Template","انتخاب قالب ایمیل"
"Send Email","ارسال ایمیل"
"Send product to a friend","ارسال محصول به یک دوست"
"Sender:","فرستنده:"
"Some emails were not sent.","برخی از ایمیل‌ها ارسال نشده بودند."
"The link to a friend was sent.","لینک به یک دوست ارسال شده بود."
"The message cannot be empty.","پیام نمی‌تواند خالی باشد."
"The messages cannot be sent more than %d times in an hour","پیام‌ها نمی‌توانند بیشتر از %d بار در هر ساعت ارسال شوند"
"The sender name cannot be empty.","نام فرستنده نمی‌تواند خالی باشد."
"There were some problems with the data.","مشکلاتی با داده‌ها وجود داشتند."
"You have exceeded limit of %d sends in an hour","شما از محدودیت %d ارسال در یک ساعت تجاوز کردید"
