"A block identifier with the same properties already exists in the selected store.","در فروشگاه انتخاب شده یک شناسه با مشخصات یکسان وجود دارد."
"A directory with the same name already exists. Please try another folder name.","یک دایرکتوری با نام یکسان وجود دارد. لطفا نام پوشه‌ی دیگری را امتحان نمایید."
"A page URL key for specified store already exists.","یک کلید URL صفحه برای فروشگاه انتخاب شده وجود دارد."
"Action","کـنـش"
"Add New Block","افزودن بلاک جدید"
"Add New Page","افزودن صفحه‌ی جدید"
"All Countries","همه‌ی کشورها"
"An error occurred while saving the page.","یک خطا در حین ذخیره سازی صفحه رخ داد."
"Anchor Custom Text","متن سفارشی مرجع"
"Anchor Custom Title","عنوان سفارشی مرجع"
"Are you sure you want to delete current folder?","شما مطمئن‌اید که می‌خواهید پوشه‌ی جاری را حذف کنید؟"
"Are you sure you want to delete the selected file?","شما مطمئن‌اید که می‌خواهید فایل انتخاب شده را حذف کنید؟"
"Block","بلاک"
"Block Information","اطلاعات بلاک"
"Block Title","عنوان بلاک"
"CMS","CMS"
"CMS Home Page","صفحه‌ی خانگی CMS"
"CMS No Cookies Page","صفحه‌ی بدون کوکی‌های CMS"
"CMS No Route Page","صفحه‌ی بی مسیر CMS"
"CMS No-Route Page","صفحه‌ی بی مسیر CMS"
"CMS Page","صفحه‌ی CMS"
"CMS Page Link","لینک صفحه‌ی CMS"
"CMS Page Link Block Template","قالب بلاکی لینک صفحه‌ی CMS"
"CMS Page Link Inline Template","قالب اینلاین لینک صفحه‌ی CMS"
"CMS Pages (All)","صفحات CMS (همه)"
"CMS Static Block","بلاک ایستای CMS"
"CMS Static Block Default Template","قالب پیش فرض بلاک ایستای CMS"
"Cannot create new directory.","نمی‌توان دایرکتوری جدید ایجاد کرد."
"Cannot delete directory %s.","نمی‌توان دایرکتوری %s را حذف کرد."
"Cannot delete root directory %s.","نمی‌توان دایرکتوری ریشه‌ی %s را حذف کرد."
"Cannot upload file.","نمی‌توان فایل آپلود کرد."
"Collapse All","بستن همه"
"Content","محتوا"
"Content Heading","سرنویس محتوا"
"Content Management","مدیریت محتوا"
"Contents of a Static Block","محتویات یک بلاک ایستا"
"Create Folder...","ایجاد پوشه..."
"Custom Design","طرح سفارشی"
"Custom Design From","طرح سفارشی از"
"Custom Design To","طرح سفارشی تا"
"Custom Layout","آرایش سفارشی"
"Custom Layout Update XML","به روز رسانی XML آرایش سفارشی"
"Custom Theme","تم سفارشی"
"Customer Tax Class Information","اطلاعات کلاس مالیاتی مشتری"
"Date Created","تاریخ ایجاد"
"Delete Block","حذف بلاک"
"Delete File","حذف فایل"
"Delete Folder","حذف پوشه"
"Delete Page","حذف صفحه"
"Description","توصیف"
"Design","طراحی"
"Disabled","ناممکن‌شده"
"Disabled Completely","به کلی ناممکن شده"
"Disabled by Default","پیش فرض ناممکن شده"
"Edit Block","ویرایش بلاک"
"Edit Block '%s'","ویرایش بلاک '%s'"
"Edit Page","ویرایش صفحه"
"Edit Page '%s'","ویرایش صفحه‌ی '%s'"
"Enable WYSIWYG Editor","ویرایشگر WYSIWYG ممکن"
"Enabled","ممکن‌شده"
"Enabled by Default","پیش فرض ممکن شده"
"Expand All","بازکردن همه"
"General Information","اطلاعات عمومی"
"Go to Home Page","برو به صفحه‌ی خانگی"
"Home","خانه"
"ID","شناسه"
"Identifier","شناسه"
"If empty, the Page Title will be used","اگر خالی باشد، عنوان صفحه استفاده خواهد شد"
"Images (%s)","تصاویر (%s)"
"Insert File","گذاشتن فایل"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","نام پوشه‌ی نامعتبر. لطفا، کاراکترهای حرفی-عددی، زیرخط و خط فاصله به کار ببرید."
"Keywords","کلمات کلیدی"
"Last Modified","آخرین تغییرات"
"Layout","آرایش"
"Layout Update XML","به روز رسانی XML آرایش"
"Link to a CMS Page","لینک به یک صفحه‌ی CMS"
"Manage Pages","مدیریت صفحات"
"Media Storage","رسانه‌ی ذخیره سازی"
"Meta Data","فوق داده"
"Meta Description","فوق توصیف"
