"-- Please Select --","-- لطفا انتخاب نمایید --"
"Account Registration","نام نویسی حساب"
"All fields of script types have to be filled.","همه‌ی فیلدهای انواع اسکریپت باید پر شده باشند."
"Attributes","ویژگی‌ها"
"Category View Optimization","بهینه سازی نمای رده"
"Control Script","اسکریپت کنترل"
"Conversion Page","صفحه‌ی تبدیل"
"Conversion Page URL","URL صفحه‌ی تبدیل"
"Conversion Script","اسکریپت تبدیل"
"Enable","ممکن"
"Google Optimizer Scripts","اسکریپت‌های بهینه ساز گوگل"
"Google Website Optimizer","بهینه ساز وب‌سایت گوگل"
"Install Scripts","اسکریپت‌های نصب"
"Multi Address Checkout","تسویه‌ی چند آدرسی"
"One Page Checkout","تسویه‌ی تک صفحه‌ای"
"Order Success (Multi Address Checkout)","موفقیت سفارش (تسویه‌ی چند آدرسی)"
"Order Success (One Page Checkout)","موفقیت سفارش (تسویه‌ی تک صفحه‌ای)"
"Original Page","صفحه‌ی اصلی"
"Other","دیگر"
"Page Type","نوع صفحه"
"Page View Optimization","بهینه سازی نمای صفحه"
"Please copy and paste this value to experiment edit form","لطفا این مقدار را برای آزمایش فرم ویرایش کپی وپیست نمایید"
"Please copy and paste this value to experiment edit form.","لطفا این مقدار را برای آزمایش فرم ویرایش کپی وپیست نمایید."
"Please select store view to see the URL","لطفا برای دیدن URL نمای فروشگاه را انتخاب نمایید"
"Please select store view to see the URL.","لطفا برای دیدن URL نمای فروشگاه را انتخاب نمایید."
"Product View Optimization","بهینه سازی مشاهده‌ی محصول"
"Scripts Install URL","URL نصب اسکریپت‌ها"
"Shopping Cart","سبد خرید"
"The limit is 8 attributes only.","محدودیت تنها 8 ویژگی است."
"Tracking Script","اسکریپت پیگیری"
"Use Default","استفاده از پیش فرض"
"Use Default Values","استفاده از مقادیر پیش فرض"
"Variant Page","صفحه‌ی متفاوت"
