"Express Checkout and Order have been canceled.","تسویه‌ی سریع و سفارش لغو شدند."
"Express Checkout has been canceled.","تسویه‌ی سریع لغو شد."
"Fetch","آوردن"
"PayPal Express Checkout Token does not exist.","نشانه‌ی تسویه‌ی سریع پی پال موجود نیست."
"PayPal Express Order Review Form","فرم بازبینی سفارش سریع پی پال"
"PayPal Settlement Reports","گزارش‌های توافق پی پال"
"Pending PayPal","پی پال در انتظار"
"Reports","گزارش‌ها"
"Sales","فروش‌ها"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","ناتوان در لغو تسویه‌ی سریع."
"Unable to initialize Express Checkout review.","ناتوان در مقدار دهی اولیه‌ی بازبینی تسویه‌ی سریع."
"Unable to place the order.","ناتوان در سفارش دادن."
"Unable to process Express Checkout approval.","ناتوان در پردازش تصویب تسویه‌ی سریع."
"Unable to start Express Checkout.","ناتوان در شروع تسویه‌ی سریع."
"Unable to update shipping method.","ناتوان در به روز رسانی روش ارسال."
"View","مشاهده"
"View Transaction","مشاهده‌ی تراکنش"
"Wrong PayPal Express Checkout Token specified.","نشانه‌ی تسویه‌ی سریع پی پال تعیین شده‌ی اشتباه."
"You will be redirected to PayPal in a few seconds.","شما در چند ثانیه‌ی کوتاه به پی پال هدایت خواهید شد."
