"%s","%s"
"-- Please Select --","-- لطفا انتخاب نمایید --"
"Actions","کنش‌ها"
"Add Layout Update","افزودن به روز رسانی آرایش"
"Add New Widget Instance","افزودن نمونه ویجت جدید"
"All","همه"
"All Pages","همه‌ی صفحات"
"All Product Types","همه‌ی انواع محصول"
"Anchor Categories","رده‌های مرجع"
"Assign to Store Views","اختصاص به نماهای فروشگاه"
"Big Image","تصویر بزرگ"
"Block Reference","بلاک ارجاع"
"CMS","CMS"
"Categories","رده‌ها"
"Choose...","انتخاب..."
"Close","بستن"
"Continue","ادامه"
"Default Template","قالب پیش فرض"
"Delete","حذف"
"Design Package/Theme","بسته/تم طراحی"
"Export to:","صدور به:"
"Frontend Properties","مشخصات فرانت‌اند"
"Generic Pages","صفحات عمومی"
"Images","تصاویر"
"Insert Widget","گذاشتن ویجت"
"Layout Updates","به روز رسانی‌های آرایش"
"Manage Widget Instances","مدیریت نمونه‌های ویجت"
"New Instance","نمونه‌ی جدید"
"New Widget Instance","نمونه ویجت جدید"
"Next page","صفحه‌ی بعد"
"Non-Anchor Categories","رده‌های غیر مرجع"
"Not Selected","انتخاب نشده"
"Page","صفحه‌ی"
"Please Select Block Reference First","لطفا ابتدا بلاک ارجاع را انتخاب نمایید"
"Previous page","صفحه‌ی قبل"
"Products","محصولات"
"Remove Layout Update","برداشتن به روز رسانی آرایش"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Select All","انتخاب همه"
"Select Visible","انتخاب نمایان‌ها"
"Settings","تنظیمات"
"Sort Order","ترتیب ردیف"
"Sort Order of widget instances in the same block reference","ترتیب ردیف نمونه‌های ویجت در بلاک ارجاع یکسان"
"Specific %s","%s خاص"
"Specified Page","صفحه‌ی تعیین شده"
"Template","قالب"
"The information in this tab has been changed.","اطلاعات در این تب تغییر یافت."
"The widget instance has been deleted.","نمونه ویجت حذف شد."
"The widget instance has been saved.","نمونه ویجت ذخیره شد."
"This tab contains invalid data. Please solve the problem before saving.","این تب حاوی داده‌ی نامعتبر است. لطفا پیش از ذخیره مشکل را حل نمایید."
"Thumbnail","تصویر کوچک"
"Total %d records found","مجموع %d رکورد یافت شد"
"Type","نوع"
"Unselect All","عدم انتخاب همه"
"Unselect Visible","عدم انتخاب نمایان‌ها"
"View","مشاهده"
"Widget","ویجت"
"Widget ""%s""","ویجت ""%s"""
"Widget ID","شناسه‌ی ویجت"
"Widget Instance","نمونه ویجت"
"Widget Instance Title","عنوان نمونه ویجت"
"Widget Options","گزینه‌های ویجت"
"Widget Type","نوع ویجت"
"Widget Type is not specified","نوع ویجت مشخص شده نیست"
"Widget instance is not full complete to create.","نمونه ویجت برای ایجاد کاملا تکمیل نشده است."
"Widgets","ویجت‌ها"
"Wrong wigdet instance specified.","نمونه ویجت مشخص شده‌ی اشتباه."
"items selected","آیتم انتخاب شده"
"of %s pages","از %s صفحه"
"per page","تا بر صفحه"
