"-- Please select --","-- لطفا انتخاب نمایید --"
"Allowed Currencies","ارزهای مجاز"
"Base Currency","ارز مبنا"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","ارز مبنا برای همه‌ی تراکنش‌های پرداخت آنلاین استفاده شده است. دامنه توسط دامنه‌ی قیمت کاتالوگ (""کاتالوگ"" > ""قیمت"" > ""دامنه‌ی قیمت کاتالوگ"") مشخص شده است."
"Cannot retrieve rate from %s.","نمی‌توان نرخ را از %s بازیابی کرد."
"Connection Timeout in Seconds","مهلت اتصال به ثانیه"
"Continue &raquo;","ادامه &laquo;"
"Country","کشور"
"Country Api","Apiی کشور"
"Country and Format Type combination should be unique","کشور و نوع ساختار ترکیب باید یکتا باشند"
"Currency","ارز"
"Currency Options","گزینه‌های ارز"
"Currency Setup","راه اندازی ارز"
"Currency Update Warnings","اخطارهای به روز رسانی ارز"
"Default Display Currency","ارز نمایش پیش فرض"
"Directory","دایرکتوری"
"Enabled","ممکن‌شده"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"FATAL ERROR:","خطاى جدى:"
"Frequency","تکرار"
"Installed Currencies","ارزهای نصب شده"
"Invalid Import Service specified.","سرویس ورود تعیین شده‌ی نامعتبر."
"Invalid country code: %s","کد کشور نامعتبر: %s"
"Invalid rates received","نرخ‌های نامعتبر دریافت گردید"
"Invalid target currency.","ارز هدف نامعتبر."
"List of countries","لیست کشورها"
"List of regions in specified country","لیست مناطق در کشور تعیین شده"
"Postal Code is Optional for the following countries","کد پستی برای کشورهای زیر اختیاری است"
"Region","منطقه"
"Region Api","Apiی منطقه"
"Scheduled Import Settings","تنظیمات ورود زمان بندی شده"
"Select Your Currency","انتخاب ارزتان"
"Service","سرویس‌ها"
"Start Time","زمان شروع"
"State/Province","ایالت/استان"
"Strikeiron Email Update Warnings","اخطارهای به روز رسانی ایمیل Strikeiron"
"Unable to initialize the import model.","ناتوان در مقدار اولیه دادن مدل ورود."
"Undefined rate from ""%s-%s"".","نرخ تعریف نشده از ""%s-%s""."
"WARNING:","اخطار:"
"Webservicex","Webservicex"
"Your current currency is: %s","ارز جاری‌یتان هست: %s"
