"Action","کـنـش"
"An error occurred while writing to the backup file ""%s"".","در حین نوشتن بر روی فایل پشتیبان ""%s"" یک خطا رخ داد."
"Backup file ""%s"" cannot be read from or written to.","فایل پشتیبان ""%s"" نمی‌تواند خوانده یا نوشته شود."
"Backup file ""%s"" does not exist.","فایل پشتیبان ""%s"" وجود ندارد."
"Backup file does not exist.","فایل پشتیبان وجود ندارد."
"Backup file handler was unspecified.","کنترل کننده‌ی فایل پشتیبان نامشخص بود."
"Backup file path was not specified.","مسیر فایل پشتیبان مشخص نشده بود."
"Backups","پشتیبان‌ها"
"Cannot read backup file.","نمی‌توان فایل پشتیبان را خواند."
"Create Backup","ایجاد پشتیبان"
"DB","پایگاه‌داده"
"Database was successfuly backed up.","پایگاه‌داده با موفقیت پشتیبان‌گیری شد."
"Download","دانلود"
"Size, Bytes","اندازه، بایت"
"The file was compressed with Zlib, but this extension is not installed on server.","فایل با Zlib فشرده شده بود، اما این اکستنشن بر روی سرور نصب شده نیست."
"Time","زمان"
"Type","نوع"
"Unable to create backup. Please, try again later.","ناتوان در ایجاد پشتیبان. لطفا، بعدا دوباره سعی نمایید."
"Wrong order of creation for new backup.","ترتیب ایجاد اشتباه برای پشتیبان جدید."
