"%s and greater","%s و بزرگتر"
"<strong>%d item(s)</strong> were found using the following search criteria","با استفاده از معیارهای جستجوی زیر <strong>%d آیتم</strong> یافت شد(ند)"
"Advanced Search","جستجوی پیشرفته"
"Advanced Search Form","فرم جستجوی پیشرفته"
"Advanced Search Result","نتیجه‌ی جستجوی پیشرفته"
"All","همه"
"Applies for ""Like"" search type only.","تنها برای نوع جستجوی ""مشابه"" اعمال شود."
"Apply Layered Navigation if Search Results are Less Than","اعمال ناوبری لایه‌ای اگر نتایج جستجو کمتر هستند از"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","تغییر تنظیم ویژگی به فهرست جستجو مرتبط شده است. لطفا فرایند <a href=""%s"">بازسازی فهرست جستجو </a> را اجرا نمایید."
"Autogenerated Site Map","نقشه‌ی سایت خودکار تولید شده"
"Catalog Advanced Search","جستجوی پیشرفته‌ی کاتالوگ"
"Catalog Search","جستجوی کاتالوگ"
"Catalog Search Index","فهرست جستجوی کاتالوگ"
"Don't see what you're looking for?","چیزی را که به دنبال آن هستید نمی‌بینید؟"
"Enter ""0"" to enable layered navigation for any number of results.","جهت ممکن ساختن ناوبری لایه‌ای برای هر تعداد از نتایج ""0"" را وارد کنید."
"Go","برو"
"Go to Home Page","برو به صفحه‌ی خانگی"
"Grid","مشبک"
"Home","خانه"
"List","لیست"
"Maximum Query Length","بیشینه طول جستار"
"Maximum Query Words Count","بیشینه تعداد کلمات جستار"
"Maximum Search query  length is %s. Your query was cut.","بیشینه طول جستار جستجو %s است. جستار شما قطع شد."
"Minimal Query Length","کمینه طول جستار"
"Minimum Search query length is %s","کمینه طول جستار جستجو %s است"
"Modify your search","جستجویتان را اصلاح کنید"
"No","خیر"
"No items were found using the following search criteria.","هیچ آیتمی با استفاده از معیارهای جستجوی زیر یافت نشد."
"Please specify at least one search term.","لطفا دست کم یک عبارت جستجو مشخص نمایید."
"Popular Search Terms","عبارات جستجوی محبوب"
"Quick Search Form","فرم جستجوی سریع"
"Rebuild Catalog product fulltext search index","بازسازی فهرست جستجوی تمام متنی محصول کاتالوگ"
"Relevance","ارتباط"
"Results","نتایج"
"Search","جستجو"
"Search Settings","تنظیمات جستجو"
"Search Terms","عبارات جستجو"
"Search Type","نوع جستجو"
"Search entire store here...","تمام فروشگاه را اینجا جستجو کنید..."
"Search results for '%s'","نتایج جستجو برای '%s'"
"Search results for: '%s'","نتایج جستجو برای: '%s'"
"Search:","جستجو:"
"Subscribe to Feed","اشتراک در فید"
"There are no search terms available.","عبارات جستجویی موجود نیست."
"Yes","بلی"
"Your search returns no results.","جستجوی شما هیچ نتیجه‌ای برنگرداند"
"up to %s","تا %s"
