"%d Review(s)","%d نظر"
"%s Review(s)","%s نظر(ات)"
"(Posted on %s)","(ارسال شده در %s)"
"1 star","1 ستاره"
"2 stars","2 ستاره"
"3 stars","3 ستاره"
"4 stars","4 ستاره"
"5 stars","5 ستاره"
"Add New Review","افزودن نظر جدید"
"Add Your Review","افزودن نظرتان"
"Administrator","مدیریت"
"All Reviews","همه‌ی نظرات"
"All Reviews of Customer `%s`","همه‌ی نظرات مشتری `%s`"
"Allow Guests to Write Reviews","به مهمانان برای نوشتن نظرات اجازه بده"
"Are you sure you want to do this?","شما مطمئن‌اید که می‌خواهید این را انجام دهید؟"
"Are you sure?","شما مطمئن‌اید؟"
"Average Customer Rating","میانگین امتیاز مشتری"
"Average Customer Rating:","میانگین امتیاز مشتری:"
"Back","بازگشت"
"Back to Main Product Info","بازگشت به اطلاعات محصول اصلی"
"Back to My Reviews","بازگشت به نظرات من"
"Back to Product Reviews","بازگشت به نظرات محصول"
"Be the first to review this product","برای نظر دادن به این محصول اولین باشید"
"Catalog Product Review View","مشاهده‌ی بازبینی محصول کاتالوگ"
"Catalog Product Reviews List","لیست نظرات محصول کاتالوگ"
"Created On","ایجاد شده در"
"Customer","مشتری"
"Customer My Account Product Reviews","نظرات محصول حساب من مشتری"
"Customer My Account Review Details","جزییات نظر حساب من مشتری"
"Customer Reviews","نظرات مشتری"
"Delete","حذف"
"Delete Review","حذف نظر"
"Detailed Rating","امتیاز به تفصیل"
"Edit Review '%s'","ویرایش نظر '%s'"
"Guest","مهمان"
"How do you rate this product?","شما به این محصول چه امتیازی می‌دهید؟"
"ID","شناسه"
"Manage Ratings","مدیریت امتیازات"
"My Product Reviews","نظرات محصول من"
"My Recent Reviews","نظرات اخیر من"
"Name","نام"
"Name in Store","نام در فروشگاه"
"New Review","نظر جدید"
"Nickname","لقب"
"Pending Reviews","نظرات در انتظار"
"Pending Reviews of Customer `%s`","نظرات در انتظار مشتری `%s`"
"Please select a product","لطفا محصولی را انتخاب نمایید"
"Please select one of each of the ratings above","لطفا یکی از هر یک از امتیازات فوق را انتخاب نمایید"
"Posted By","ارسال شده توسط"
"Price","قیمت"
"Product","محصول"
"Product Name","نام محصول"
"Product Rating","امتیاز محصول"
"Product Rating:","امتیاز محصول:"
"Product Review (submitted on %s):","بازبینی محصول (ارایه شده در %s):"
"Product Reviews","نظرات محصول"
"Product SKU","کد کالای محصول"
"Qty","تعداد"
"Rating:","امتیاز:"
"Review","نظر"
"Review (submitted on %s):","نظر (ارایه شده در %s):"
"Review Details","جزییات نظر"
"Review by <span>%s</span>","نظر توسط <span>%s</span>"
"Reviews and Ratings","نظرات و امتیازات"
"SKU","کد کالا"
"Save Review","ذخیره‌ی نظر"
"Status","وضعیت"
"Submit Review","ارایه نظر"
"Summary Rating","خلاصه‌ی امتیاز"
"Summary of Review","خلاصه‌ی نظر"
"Summary of Your Review","خلاصه‌ی نظرتان"
"Title","عنوان"
"Type","نوع"
"Unable to post the review.","ناتوان در ارسال نظر."
"Update Status","به روز رسانی وضعیت"
"View All Reviews","مشاهده‌ی همه‌ی نظرات"
"View Details","مشاهده‌ی جزییات"
"Visible In","نمایان در"
"Websites","وب‌سایت‌ها"
"Write Your Own Review","نظر خودتان را بنویسید"
"You have submitted no reviews.","شما هیچ نظری ارایه نکرده‌اید."
"You're reviewing:","شما نظر می دهید:"
"Your Rating:","امتیاز شما:"
"Your Review (submitted on %s):","نظر شما (ارایه شده در %s):"
"Your review has been accepted for moderation.","نظر شما برای بررسی و مدیریت پذیرفته شد."
