"Actions","کنش‌ها"
"Add Answer","افزودن پاسخ"
"Add New Answer","افزودن پاسخ جدید"
"Add New Poll","افزودن نظرسنجی جدید"
"Answer Title","عنوان پاسخ"
"Answer Title:","عنوان پاسخ:"
"Answer with the same title in this poll","پاسخ با عنوان یکسان در این نظرسنجی"
"Are you sure you want to delete it?","شما مطمئن‌اید که می‌خواهید آن را حذف کنید؟"
"Assigned Answers","پاسخ‌های اختصاص یافته"
"Closed","بسته شد"
"Community Poll","نظرسنجی عمومی"
"Date Closed","تاریخ بسته شده"
"Date Posted","تاریخ ارسال شده"
"Delete","حذف"
"Delete Answer","حذف پاسخ"
"Delete Poll","حذف نظرسنجی"
"Disallow Voting in a Poll Multiple Times from Same IP-address","چندین بار رای دادن در یک نظرسنجی از یک آدرس IP غیر مجاز"
"Edit Answer '%s'","ویرایش پاسخ '%s'"
"Edit Poll '%s'","ویرایش نظرسنجی '%s'"
"Edit Poll Answer","ویرایش پاسخ نظرسنجی"
"ID","شناسه"
"Invalid Answer.","پاسخ نامعتبر."
"New Poll","نظرسنجی جدید"
"Number of Responses","تعداد پاسخ‌ها"
"Open","باز"
"Poll Answers","پاسخ‌های نظرسنجی"
"Poll Information","اطلاعات نظرسنجی"
"Poll Manager","مدیر نظرسنجی"
"Poll Question","پرسش نظرسنجی"
"Poll information","اطلاعات نظرسنجی"
"Poll with the same question","نظرسنجی با پرسش یکسان"
"Polls","نظرسنجی‌ها"
"Save Answer","ذخیره‌ی پاسخ"
"Save Poll","ذخیره‌ی نظرسنجی"
"Status","وضعیت"
"The answer has been saved.","پاسخ ذخیره شد."
"The poll does not exist.","نظر سنجی وجود ندارد."
"Unable to find an answer to delete.","ناتوان در یافتن یک پاسخ برای حذف."
"Visible In","نمایان در"
"Vote","رای"
"Votes Count","تعداد آرا"
"Votes Count:","تعداد آرا:"
