"Cron (Scheduled Tasks) - all the times are in minutes","Cron (وظایف زمان بندی شده) – همه‌ی زمان‌ها به دقیقه هستند"
"Daily","روزانه"
"Failure History Lifetime","طول عمر پیشینه‌ی شکست"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","برای URLهای تولید شده‌ی درست در طی اجرای cron لطفا اطمینان حاصل نمایید که URLهای مبنای وب > ایمن و نا امن به طور واضح تنظیم شده‌اند."
"Generate Schedules Every","تولید زمان بندی‌ها هر"
"History Cleanup Every","پاک سازی پیشینه هر"
"Invalid callback: %s::%s does not exist","کال‌بک نامعتبر: %s::%s وجود ندارد"
"Invalid model/method definition, expecting ""model/class::method"".","تعریف مدل/روش نامعتبر، ""model/class::method"" انتظار می‌رود."
"Missed if Not Run Within","از دست رفته اگر اجرا نشود در مدت"
"Monthly","ماهیانه"
"No callbacks found","کال‌بکی یافت نشد"
"Schedule Ahead for","زمان بندی پیش رو برای"
"Success History Lifetime","طول عمر پیشینه‌ی موفقیت"
"Too late for the schedule.","برای زمان بندی بسیار دیر شده."
"Unable to save the cron expression.","ناتوان در ذخیره‌ی حالت cron."
"Unknown error.","خطای ناشناخته."
"Weekly","هفتگی"
