"Absolute path to private certificate file.","مسیر مستقل برای فایل گواهی شخصی."
"Absolute path to private key file.","مسیر مستقل برای فایل کلید شخصی."
"Absolute path to public payment provider certificate file.","مسیر مستقل برای فایل گواهی ارایه دهنده‌ی پرداخت عمومی."
"An error has occurred","یک خطا رخ داد"
"An error has occurred with the transaction #%s.","یک خطا با تراکنش شماره‌ی %s رخ داد."
"An error has occurred. You will be redirected back to store.","یک خطا رخ داد. شما به فروشگاه بازگردانده خواهید شد."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","یک خطا در حین پردازش تراکنش iDEALتان رخ داد. لطفا با فروشگاه اینترنتی تماس بگیرید یا بعدا دوباره سعی نمایید. شماره‌ی تراکنش %s است."
"Begin to check transaction status if order was made {N} hours ago.","آغاز بررسی وضعیت تراکنش اگر سفارش {N} ساعت پیش ایجاد شده بود."
"Check Begin","آغاز بررسی"
"Check End","پایان بررسی"
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Customer has canceled payment.","مشتری پرداخت را لغو کرده است."
"Customer has successfully returned from iDEAL.","مشتری بازگشت موفقیت آمیزی از iDEAL داشت."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","مشتری به iDEAL هدایت شد. لطفا، پیش از تحویل کالاهای خریداری شده وضعیت تراکنش را توسط داشبورد ING iDEAL بررسی نمایید."
"Customer was rejected by iDEAL.","مشتری توسط iDEAL رد شد."
"Debug","اشکال زدایی"
"Do not check transaction status if order older than {N} days.","اگر سفارش قدیمی‌تر از {N} روز است وضعیت تراکنش را بررسی نکنید."
"Dutch","هلندی"
"Enabled","ممکن‌شده"
"English","انگلیسی"
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","به دقیقه. کمینه 1 و بیشینه 60 دقیقه است."
"Issuer","صادر کننده"
"Issuer: %s","صادر کننده: %s"
"Language","زبان"
"Leave empty for default value.","برای مقدار پیش فرض خالی باقی بگذارید."
"Merchant ID","شناسه‌ی فروشنده"
"Merchant Key","کلید فروشنده"
"New Order Status","وضعیت سفارش جدید"
"Notification from iDEAL was received with status %s.","اخطار برای iDEAL با وضعیت %s دریافت شد."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","اخطار برای iDEAL با وضعیت %s دریافت شد. فاکتور ایجاد شد. لطفا پیش از تحویل کالاهای خریداری شده وضعیت یک تراکنش را توسط داشبورد ING iDEAL بررسی نمایید."
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Payment was canceled by the customer.","پرداخت توسط مشتری لغو شد."
"Please Select","لطفا انتخاب نمایید"
"Private Certificate","گواهی خصوصی"
"Private Key","کلید خصوصی"
"Private Key Password","گذرواژه‌ی کلید خصوصی"
"Required fields are missing.","فیلدهای الزامی کم‌اند.."
"Secure URL (production)","URL امن (ساخت)"
"Secure URL (test mode)","URL امن (حالت آزمایشی)"
"Selected currency code (%s) is not compatible with iDEAL.","کد ارز انتخاب شده (%s) با iDEAL سازگار نیست."
"Sort Order","ترتیب ردیف"
"Store name will be used if left empty.","اگر خالی بماند از نام فروشگاه استفاده خواهد شد."
"Test Mode","حالت آزمایشی"
"The customer canceled payment.","مشتری پرداخت را لغو کرده."
"The customer has returned from iDEAL.","مشتری از iDEAL بازگشته است."
"The customer was redirected to iDEAL.","مشتری به iDEAL هدایت شد."
"Title","عنوان"
"Transaction Description","توصیف تراکنش"
"Transaction Expire Period","دوره‌ی انقضای تراکنش"
"Transaction Status Update: canceled by the customer.","به روز رسانی وضعیت تراکنش: لغو شده توسط مشتری."
"Transaction Status Update: finished successfully.","به روز رسانی وضعیت تراکنش: با موفقیت به پایان رسید."
"Transaction Status Update: rejected by iDEAL.","به روز رسانی وضعیت تراکنش: رد شده توسط iDEAL."
"You will be redirected to bank in a few seconds.","شما در چند ثانیه‌ی کوتاه به بانک هدایت خواهید شد."
"You will be redirected to iDEAL in a few seconds.","شما در چند ثانیه‌ی کوتاه به iDEAL هدایت خواهید شد."
"You will be redirected to the website of your bank when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت بانک‌تان هدایت خواهید شد."
"iDEAL Advanced","iDEAL پیشرفته"
"iDEAL Basic","iDEAL ابتدایی"
"iDEAL Certificate","گواهی iDEAL"
