"%s is not a correct comparsion method.","%s یک روش قیاس درست نیست."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>توجه کنید </strong> که این تنظیمات برای آیتم‌های سطری سبد قابل اجرا هستند، نه کل سبد."
"Add Minimum Qty","افزودن کمینه‌ی تعداد"
"Allow Qty Below 0","اجازه‌ی تعداد زیر 0"
"Allow Qty Below 0 and Notify Customer","اجازه‌ی تعداد زیر 0 و اخطار به مشتری"
"Automatically Return Credit Memo Item to Stock","برگرداندن خودکار آیتم برگشتی به موجودی"
"Backorders","پیش سفارش‌ها"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"Cannot specify product identifier for the order item.","نمی‌توان شناسه‌ی محصول را برای آیتم سفارش مشخص کرد."
"Catalog Inventory","موجودی کاتالوگ"
"Decrease Stock When Order is Placed","کاهش موجودی هنگامی که سفارش داده شد"
"Enable Qty Increments","نموهای تعداد ممکن"
"In Stock","موجود"
"Index Product Stock Status","فهرست کردن وضعیت موجودی محصول"
"Inventory","موجودی"
"Inventory API","APIی موجودی"
"Inventory Section","بخش موجودی"
"Manage Stock","مدیریت موجودی"
"Maximum Qty Allowed in Shopping Cart","بیشینه‌ی تعداد مجاز در سبد خرید"
"Minimum Qty","کمینه‌ی تعداد"
"Minimum Qty Allowed in Shopping Cart","کمینه‌ی تعداد مجاز در سبد خرید"
"No Backorders","پیش سفارش‌ها خیر"
"Not all products are available in the requested quantity","همه‌ی محصولات در تعداد درخواست شده موجود نیستند"
"Notify for Quantity Below","اخطار برای تعداد زیر"
"Only X left Threshold","تنها آستانه‌ی چپ X"
"Out of Stock","ناموجود"
"Product Stock Options","گزینه‌های موجودی کالا"
"Qty Increments","نموهای تعداد"
"Qty for Items' Status to Become Out of Stock","تعداد برای ناموجود شدن وضعیت آیتم‌ها"
"Retrieve stock data","بازیابی داده‌ی موجودی"
"Retrieve stock data by product ids","بازیابی داده‌ی موجودی توسط شناسه‌های محصول"
"Rule price","قیمت اصل"
"Set Items' Status to be In Stock When Order is Cancelled","تنظیم وضعیت آیتم‌ها به موجود بودن هنگامی که سفارش لغو شده است"
"Some of the products are currently out of stock","در حال حاضر برخی از محصولات ناموجوداند"
"Some of the products cannot be ordered in requested quantity.","برخی از محصولات نمی‌توانند در تعداد درخواست شده سفارش داده شوند."
"Some of the products cannot be ordered in the requested quantity.","برخی از محصولات نمی‌توانند در این تعداد درخواست شده سفارش داده شوند."
"Stock Options","گزینه‌های موجودی"
"Stock Status","وضعیت موجودی"
"The maximum quantity allowed for purchase is %s.","بیشینه تعداد مجاز برای خرید %s است."
"The minimum quantity allowed for purchase is %s.","کمینه تعداد مجاز برای خرید %s است."
"The requested quantity for ""%s"" is not available.","تعداد درخواست شده برای ""%s"" موجود نیست."
"The requested quantity is not available.","تعداد درخواست شده موجود نیست."
"The stock item for Product in option is not valid.","آیتم موجود برای محصول در اختیار معتبر نیست."
"The stock item for Product is not valid.","آیتم موجود برای محصول معتبر نیست."
"This product is available for purchase in increments of %s only.","این محصول برای خرید تنها در نموهای %s تایی موجود است."
"This product is currently out of stock.","این محصول در حال حاضر ناموجود است."
"This product is not available in the requested quantity. %s of the items will be backordered.","این محصول در تعداد درخواست شده موجود نیست. %s تا از آیتم‌ها پیش سفارش شده خواهند بود."
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"Undefined product type.","نوع محصول تعریف نشده."
"Update","به روز رسانی"
"Update product stock data","به روز رسانی داده‌ی موجودی کالا"
"Update the Product","به روز رسانی محصول"
