"%s - Discounts and Coupons","%s – تخفیف‌ها و کوپن‌ها"
"%s - Special Products","%s – محصولات ویژه"
"%s RSS Feed","%s فید RSS"
"%s has reached a quantity of %s.","%s به تعدادی از %s رسیده است."
"%s\'s Wishlist","لیست دلخواه %s"
"Cannot retrieve the wishlist","نمی‌توان لیست دلخواه را بازیابی کرد"
"Catalog","کاتالوگ"
"Category Feeds","فیدهای رده"
"Comment: %s<br/>","توضیح: %s<br/>"
"Coupons/Discounts","کوپن‌ها/تخفیف‌ها"
"Current Status: %s<br/>","وضعیت جاری: %s<br/>"
"Customer Name: %s","نام مشتری: %s"
"Customer Order Status Notification","اطلاعیه‌ی وضیعت سفارش مشتری"
"Details for %s #%s","جزییات برای %s شماره‌ی %s"
"Discount","تخفیف"
"Discount (%s)","تخفیف (%s)"
"Enable RSS","RSS ممکن"
"Error in processing xml. %s","خطا در پردازش xml. %s"
"From:","از:"
"Get Feed","دریافت فید"
"Gift Message","پیام هدیه"
"Grand Total","جمع کل نهایی"
"Low Stock Products","محصولات با موجودی کم"
"Message:","پیام:"
"Miscellaneous Feeds","فیدهای گوناگون"
"New Orders","سفارش‌های جدید"
"New Products","محصولات جدید"
"New Products from %s","محصولات جدید از %s"
"Notified Date: %s<br/>","تاریخ اطلاع: %s<br/>"
"Order # %s Notification(s)","اطلاعیه(ها)ی سفارش شماره‌ی %s"
"Order #%s created at %s","سفارش شماره‌ی %s ایجاد شده در %s"
"Pending product review(s)","نظر(ات) محصول در انتظار"
"Product: ""%s"" review By: %s","محصول: ""%s"" نظر توسط: %s"
"Product: <a href=""%s"">%s</a> <br/>","محصول: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","محصولات برچسب خورده با %s"
"Purchased From: %s","خریداری شده از: %s"
"RSS","RSS"
"RSS Feeds","فیدهای RSS"
"RSS Feeds List","لیست فیدهای RSS"
"Review: %s <br/>","نظر: %s <br/>"
"Rss Config","پیکربندی Rss"
"Rss Feeds Section","بخش فیدهای Rss"
"Shipping &amp; Handling","ارسال و رسیدگی"
"Special Products","محصولات ویژه"
"Store: %s <br/>","فروشگاه: %s <br/>"
"Subtotal","جمع جز"
"Summary of review: %s <br/>","خلاصه‌ی نظر: %s <br/>"
"Tags Products","برچسب‌های محصولات"
"Tax","مالیات"
"There are no Rss Feeds","فیدهای Rssای وجود ندارند"
"To:","به:"
"Top Level Category","رده‌ی سطح بالا"
"Total: %s<br/>","مجموع: %s<br/>"
"Wishlist","لیست دلخواه"
"click <a href=""%s"">here</a> to view the review","برای مشاهده‌ی نظر <a href=""%s"">اینجا</a> کلیک کنید"
