"Alert Email Sender","فرستنده‌ی ایمیل هشدار"
"Alert subscription has been saved.","اشتراک هشدار ذخیره شد."
"Allow Alert When Product Comes Back in Stock","اجازه‌ی هشدار هنگامی که محصول به موجودی برگشت"
"Allow Alert When Product Price Changes","اجازه‌ی هشدار هنگامی که قیمت محصول تغییر کرد"
"Click here not to receive alerts for this product","برای عدم دریافت هشدارهای این محصول این‌جا کلیک کنید"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"Frequency","تکرار"
"Not enough parameters.","پارامترها کافی نیست."
"Price Alert Email Template","قالب ایمیل هشدار قیمت"
"Price:","قیمت:"
"Product Alerts","هشدارهای محصول"
"Product Alerts Run Settings","تنظیمات اجرای هشدارهای محصول"
"Product alerts Cron error","خطای Cron هشدارهای محصول"
"Product price alert","هشدار قیمت محصول"
"Product stock alert","هشدار موجودی محصول"
"Regular Price:","قیمت عادی:"
"Sign up for price alert","نام نویسی برای هشدار قیمت"
"Sign up to get notified when this product is back in stock","نام نویسی برای دریافت اطلاع هنگامی که این محصول به موجودی برگشت"
"Special price:","قیمت ویژه:"
"Start Time","زمان شروع"
"Stock Alert Email Template","قالب ایمیل هشدار موجودی"
"The alert subscription has been deleted.","اشتراک هشدار حذف شد."
"The alert subscription has been saved.","اشتراک هشدار ذخیره شد."
"The product is not found.","محصول یافت نشد."
"The product was not found.","محصول یافت نشده بود."
"Unable to update the alert subscription.","ناتوان در به روز رسانی اشتراک هشدار."
"Unsubscribe from all price alerts","لغو اشتراک از همه‌ی هشدارهای محصول"
"Unsubscribe from all stock alerts","لغو اشتراک از همه‌ی هشدارهای موجودی"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","شما این اطلاعیه را دریافت می‌کنید زیرا برای دریافت هشدارها هنگامی که محصولات زیر به موجودی برگشته‌اند مشترک شده‌اید:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","شما این اطلاعیه را دریافت می‌کنید زیرا برای دریافت هشدارها هنگامی که قیمت‌ها برای محصولات زیر تغییر کرده‌اند مشترک شده‌اید:"
"You will no longer receive price alerts for this product.","شما دیگر هشدارهای قیمت را برای این محصول دریافت نخواهید کرد."
"You will no longer receive stock alerts for this product.","شما دیگر هشدارهای موجودی را برای این محصول دریافت نخواهید کرد."
"You will no longer receive stock alerts.","شما دیگر هشدارهای موجودی را دریافت نخواهید کرد."
