"Action","کـنـش"
"Add Sitemap","افزودن نقشه سایت"
"Always","همیشه"
"CMS Pages Options","گزینه‌های صفحات CMS"
"Categories Options","گزینه‌های رده‌ها"
"Daily","روزانه"
"Edit Sitemap","Edit ویرایش نقشه سایت"
"Enabled","ممکن‌شده"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","فایل ""%s"" نمی‌تواند ذخیره شود. لطفا، اطمینان حاصل نمایید دایرکتور ""%s"" توسط سرور وب قابل نوشتن است."
"Filename","نام فایل"
"Frequency","تکرار"
"Generate","تولید"
"Generation Settings","تنظیمات تولید"
"Google Sitemap","نقشه سایت گوگل"
"Hourly","ساعتی"
"ID","شناسه"
"Last Time Generated","آخرین بار تولید شده"
"Link for Google","لینک برای گوگل"
"Monthly","ماهیانه"
"Never","هرگز"
"New Sitemap","نقشه سایت جدید"
"Path","مسیر"
"Please create the specified folder ""%s"" before saving the sitemap.","لطفا پوشه‌ی مشخص شده‌ی ""%s"" را پیش از ذخیره سازی نقشه سایت ایجاد نمایید."
"Please define correct path","لطفا مسیر درست را تعریف نمایید"
"Please make sure that ""%s"" is writable by web-server.","لطفا اطمینان حاصل نمایید که ""%s"" توسط سرور وب قابل نوشتن است."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","لطفا در نام فایل تنها حروف (a-z یا A-Z)، اعداد (0-9) یا زیر خط (_) را به کار ببرید. فاصله یا کاراکترهای دیگر مجاز نیستند."
"Priority","اولویت"
"Products Options","گزینه‌های محصولات"
"Sitemap","نقشه سایت"
"Sitemap generate Warnings","اخطارهای تولید نقشه سایت"
"Start Time","زمان شروع"
"Store View","نمای فروشگاه"
"The priority must be between 0 and 1.","اولویت باید بین 0 و 1 باشد."
"The sitemap ""%s"" has been generated.","نقشه سایت ""%s"" تولید شد."
"The sitemap has been deleted.","نقشه سایت حذف شد."
"The sitemap has been saved.","نقشه سایت ذخیره شد."
"This sitemap no longer exists.","این نقشه سایت دیگر موجود نیست."
"Unable to find a sitemap to delete.","ناتوان در یافتن نقشه سایت‌ای برای حذف."
"Unable to find a sitemap to generate.","ناتوان در یافتن نقشه سایت‌ای برای تولید."
"Unable to generate the sitemap.","ناتوان در تولید نقشه سایت."
"Valid values range: from 0.0 to 1.0.","بازه‌ی مقادیر معتبر: از 0.0 تا 1.0."
"Weekly","هفتگی"
"Yearly","سالانه"
