"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s به لیست دلخواه شما افزوده شد. برای ادامه‌ی خرید <a href=""%2$s"">اینجا</a> کلیک کنید"
"%d product(s) have been added to shopping cart: %s.","%d محصول به سبد خرید افزوده شده: %s."
"%s's Wishlist","لیست دلخواه %s"
"* Required Fields","* فیلدهای الزامی"
"Add All to Cart","افزودن همه به سبد"
"Add to Cart","افزودن به سبد"
"Add to Wishlist","افزودن به لیست دلخواه"
"Added On","افزوده شده در"
"An error occurred while adding item to wishlist.","یک خطا در حین افزودن آیتم به لیست دلخواه رخ داد."
"An error occurred while adding item to wishlist: %s","یک خطا در حین افزودن آیتم به لیست دلخواه رخ داد: %s"
"An error occurred while deleting the item from wishlist.","یک خطا در حین حذف آیتم به لیست دلخواه رخ داد."
"An error occurred while deleting the item from wishlist: %s","یک خطا در حین حذف آیتم به لیست دلخواه رخ داد: %s"
"Are you sure you want to remove this product from your wishlist?","شما مطمئن‌اید که می‌خواهید این محصول را از لیست دلخواه‌تان بردارید؟"
"Are you sure you would like to remove this item from the wishlist?","شما مطمئن‌اید که مایلید این محصول را از لیست دلخواه‌تان بردارید؟"
"Back","بازگشت"
"Can\'t save description %s","نمی‌توان توصیف %s را ذخیره کرد"
"Can\'t update wishlist","نمی‌توان لیست دلخواه را به روز کرد"
"Cannot add item to shopping cart","نمی‌توان محصول راه به سبد خرید افزود"
"Cannot add the item to shopping cart.","نمی‌توان محصول راه به سبد خرید افزود."
"Cannot create wishlist.","نمی‌توان لیست دلخواه ایجاد کرد."
"Cannot specify product.","نمی‌توان محصول را مشخص کرد."
"Cannot specify wishlist.","نمی‌توان لیست دلخواه را مشخص کرد."
"Cannot update wishlist","نمی‌توان لیست دلخواه را به روز کرد"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","اگر شما می‌خواهید یک لینک به فید rss از لیست دلخواه‌تان اضافه کنید این چک‌باکس را علامت بزنید."
"Comment","توضیح"
"Comment:","توضیح:"
"Customer My Account My Wishlist","لیست دلخواه من حساب من مشتری"
"Customer My Account Wishlist Sharing Form","فرم تسهیم لیست دلخواه حساب من مشتری"
"Customer Shared Wishlist View","مشاهده‌ی لیست دلخواه تسهیم شده‌ی مشتری"
"Email Sender","فرستنده‌ی ایمیل"
"Email Template","قالب ایمیل"
"Email address can\'t be empty.","آدرس ایمیل نمی‌تواند خالی باشد."
"Email addresses, separated by commas","آدرس‌های ایمیل، جدا شده با کاما"
"Enabled","ممکن‌شده"
"General Options","گزینه‌های عمومی"
"Go to Wishlist","برو به لیست دلخواه"
"Last Added Items","آخرین آیتم‌های افزوده شده"
"Message","پیام"
"My Wishlist","لیست دلخواه من"
"My Wishlist (%d item)","لیست دلخواه من (%d آیتم)"
"My Wishlist (%d items)","لیست دلخواه من (%d آیتم)"
"My Wishlist <small>(%d)</small>","لیست دلخواه من <small>(%d)</small>"
"Out of stock","ناموجود"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","لطفا آدرس‌های ایمیل معتبر، جدا شده با کاما وارد نمایید. برای مثال johndoe@domain.com, johnsmith@domain.com."
"Please enter your comments...","لطفا نظرات‌تان را وارد نمایید..."
"Please input a valid email address.","لطفا با یک آدرس ایمیل معتبر پر کنید."
"Please, enter your comments...","لطفا، نظرات‌تان را وارد نمایید..."
"Product","محصول"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","محصول(ات) %s گروه شده است (هستند). هر یک از آن‌ها تنها به صورت جداگانه می‌تواند به سبد افزوده شود."
"Product(s) %s have required options. Each of them can be added to cart separately only.","محصول(ات) %s گزینه‌های الزامی دارد (دارند). هر یک از آن‌ها تنها به صورت جداگانه می‌تواند به سبد افزوده شود."
"RSS Feed","فید RSS"
"RSS link to %s's wishlist","لینک RSS به لیست دلخواه %s"
"Remove Item","برداشتن آیتم"
"Remove This Item","برداشتن این آیتم"
"Remove item","برداشتن آیتم"
"Share Options","گزینه‌های تسهیم"
"Share Wishlist","تسهیم لیست دلخواه"
"Share Your Wishlist","تسهیم لیست دلخواه‌تان"
"Sharing Information","اطلاعات تسهیم"
"This product(s) is currently out of stock","این محصول(ات) در حال حاضر ناموجود است (هستند)"
"Unable to add the following product(s) to shopping cart: %s.","ناتوان در افزودن محصول(ات) زیر به سبد خرید: %s."
"Update Wishlist","به روز رسانی لیست دلخواه"
"View Product","مشاهده‌ی محصول"
"Wishlist","لیست دلخواه"
"Wishlist Section","بخش لیست دلخواه"
"Wishlist Sharing","تسهیم لیست دلخواه"
"Wishlist is empty now.","اکنون لیست دلخواه خالی است."
"You have no items in your wishlist.","شما هیچ آیتمی در لیست دلخواه‌تان ندارید."
"Your Wishlist has been shared.","لیست دلخواه شما تسهیم شد."
