"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","همه‌ی کارت‌های اعتباری / Visa, Mastercard, AMEX, JCB, Diners (پشتیبانی توسط Moneybookers) - جهانی"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (پشتیبانی توسط Moneybookers) - ایتالیا"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (پشتیبانی توسط Moneybookers) - فرانسه"
"Customer ID","شناسه‌ی مشتری"
"Dankort (powered by Moneybookers) - Denmark","Dankort (پشتیبانی توسط Moneybookers) - دانمارک"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (پشتیبانی توسط Moneybookers) - اتریش"
"Enabled","ممکن‌شده"
"Giropay (powered by Moneybookers) - Germany","Giropay (پشتیبانی توسط Moneybookers) - آلمان"
"Laser (powered by Moneybookers) - Ireland","Laser (پشتیبانی توسط Moneybookers) - ایرلند"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (پشتیبانی توسط Moneybookers) - آلمان"
"Loading secure payment page (SSL)","بارگذاری صفحه‌ی پرداخت امن (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","URL اطلاعات Moneybookers"
"Moneybookers Settings","تنظیمات Moneybookers"
"Moneybookers Transaction ID: %s","شناسه‌ی تراکنش Moneybookers: %s"
"Moneybookers eWallet","کیف الکترونیک Moneybookers"
"More information about Moneybookers","اطلاعات بیشتر درباره‌ی Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (پشتیبانی توسط Moneybookers) - فنلاند"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (پشتیبانی توسط Moneybookers) - سوئد"
"Order ID","شناسه‌ی سفارش"
"POLi (powered by Moneybookers) - Australia","POLi (پشتیبانی توسط Moneybookers) - استرالیا"
"Payment failed.","پرداخت ناموفق بود."
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Payment has not been processed yet.","پرداخت هنوز پردازش نشده است."
"Payment was canceled.","پرداخت لغو شد."
"Pending bank transfer created.","انتقال بانکی در انتظار ایجاد شد."
"Please pay your order now","لطفا اکنون سفارش‌تان را پرداخت نمایید"
"Postepay (powered by Moneybookers) - Italy","Postepay (پشتیبانی توسط Moneybookers) - ایتالیا"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (پشتیبانی توسط Moneybookers) - لهستان"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (پشتیبانی توسط Moneybookers) - آلمان"
"Sort Order","ترتیب ردیف"
"The amount has been authorized and captured by Moneybookers.","مبلغ تصویب شد و توسط Moneybookers ضبط گردید."
"The customer was redirected to Moneybookers.","مشتری به Moneybookers هدایت شد."
"The order has been canceled.","سفارش لغو شد."
"Title","عنوان"
"You will be redirected to our secure payment page when you place an order.","هنگامی که شما سفارشی بدهید به صفحه‌ی پرداخت امن ما هدایت خواهید شد."
"eNETS (powered by Moneybookers) - Singapore","eNETS (پشتیبانی توسط Moneybookers) - سنگاپور"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (پشتیبانی توسط Moneybookers) - هلند"
