"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","تصدیق کارت 3D Secure"
"3D Secure Cardholder Validation","تصدیق دارنده کارت 3D Secure"
"3D Secure Electronic Commerce Indicator","شاخص تجارت الکترونیک 3D Secure"
"3D Secure Verification Result","نتیجه‌ی تایید 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","تعهدات صادر کننده‌ی کارت"
"Card Verification","تایید کارت"
"Enrolled","نام نویسی شده"
"Enrolled but Authentication Unavailable","نام نویسی شده اما تصدیق موجود نیست"
"Failed","ناموفق"
"MasterCard SecureCode","کد امنیتی MasterCard"
"Merchant Liability","تعهدات فروشنده"
"Not Enrolled","نام نویسی نشده"
"Order cannot be placed.","نمی‌توان سفارش داد."
"Payment information error. Please start over.","خطای اطلاعات پرداخت. لطفا از ابتدا شروع نمایید."
"Please continue with placing order.","لطفا با سفارش دادن ادامه دهید."
"Please verify the card with the issuer bank before placing the order.","لطفا پیش از سفارش دادن کارت را با بانک صادر کننده تایید نمایید."
"Please verify the card with the issuer bank:","لطفا کارت را با بانک صادر کننده تایید نمایید:"
"Start/Reset Validation...","ارزیابی شروع/بازنشانی..."
"Successful","موفق"
"Successful attempt","کوشش موفق"
"The card has failed verification with the issuer bank.","کارت تایید ناموفقی با بانک صادر کننده داشت."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","اشتباهی در اطلاعات پرداخت ارایه شده وجود دارد، یا این محدودیت زمانی به پایان رسیده است. لطفا، دوباره سعی نمایید."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","اشتباهی در اطلاعات پرداخت ارایه شده وجود دارد، یا محدودیت زمانی به پایان رسیده است. لطفا، دوباره سعی نمایید."
"This card has failed validation and cannot be used.","این کارت تایید ناموفقی داشت و نمی‌تواند استفاده شود."
"This card has failed validation, but it is possible to place the order.","این کارت تایید ناموفقی داشت، اما سفارش دادن ممکن است."
"To ensure the security of your transactions","برای اطمینان از امنیت تراکنش‌هایتان"
"Unable to complete","ناتوان در تکمیل"
"Validation failed.","اعتبار سنجی ناموفق."
"Verification Failed","تایید ناموفق"
"Verification Successful","تایید موفق"
"Verification cannot be processed","تایید نمی‌تواند پردازش شود"
"Verified by Visa","تایید شده توسط Visa"
