"Add New Row","افزودن سطر جدید"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","برای نام فایل‌ها کاراکترهای حرفی-عددی، خط فاصله و زیرخط توصیه شده‌اند. کاراکترهای نامناسب با \'_\' جایگزین می‌شوند."
"An error occurred while getting requested content. Please contact the store owner.","یک خطا در حین دریافت محتوای درخواستی رخ داد. لطفا با مالک فروشگاه تماس بگیرید."
"An error occurred while getting the requested content.","یک خطا در حین دریافت محتوای درخواست شده رخ داد."
"An error occurred while getting the requested content. Please contact the store owner.","یک خطا در حین دریافت محتوای درخواست شده رخ داد. لطفا با مالک فروشگاه تماس بگیرید."
"An error occurred while saving the file(s).","یک خطا در حین ذخیره سازی فایل(ها) رخ داد."
"Availability:","دسترسی:"
"Back","بازگشت"
"Canceled","لغو شد"
"Cannot connect to remote host, error: %s.","نمی توان به میزبان راه دور وصل شد، خطا: %s."
"Catalog Product View (Downloadable)","مشاهده‌ی محصول کاتالوگ (دانلودی)"
"Customer My Account Downloadable Items","آیتم‌های دانلودی حساب من مشتری"
"Date","تاریخ"
"Default Link Title","عنوان لینک پیش فرض"
"Default Maximum Number of Downloads","پیش فرض بیشینه تعداد دانلودها"
"Default Sample Title","پیش فرض عنوان نمونه"
"Disable Guest Checkout if Cart Contains Downloadable Items","اگر سبد شامل آیتم‌های دانلودی بود تسویه‌ی مهمان را ناممکن کن"
"Downloadable Information","اطلاعات دانلودی"
"Downloadable Product","محصول دانلودی"
"Downloadable Product Options","گزینه‌های محصول دانلودی"
"Downloadable product Section","بخش محصول دانلودی"
"Excl. Tax","بی مالیات"
"File","فایل"
"From:","از:"
"Gift Message","پیام هدیه"
"Go to <a href=""%s"">My Downloadable Products</a>","برو به <a href=""%s"">محصولات دانلودی من </a>"
"Guest checkout will only work with shareable.","تسویه‌ی مهمان تنها با قابل تسهیم کار خواهد کرد."
"In Stock","موجود"
"Incl. Tax","با مالیات"
"Invalid download URL host.","میزبان URL دانلود نامعتبر."
"Invalid download URL scheme.","رویه‌ی URL دانلود نامعتبر."
"Invalid download link type.","نوع لینک دانلود نامعتبر."
"Invoiced","فاکتورشده"
"Links can be purchased separately","لینک‌ها می‌توانند جداگانه خریداری شوند"
"Max. Downloads","بیشینه‌ی دانلودها"
"Message:","پیام:"
"Move to Wishlist","جابجایی به لیست دلخواه"
"My Downloadable Products","محصولات دانلودی من"
"Open Links in New Window","بازکردن لینک‌ها در پنجره‌ی جدید"
"Order #","شماره‌ی سفارش"
"Order Item Status to Enable Downloads","وضعیت آیتم سفارش برای دانلودهای ممکن"
"Ordered","سفارش داده شده"
"Out of Stock","ناموجود"
"Pending","انتظار"
"Please log in to download your product.","برای دانلود محصول‌تان لطفا وارد شوید."
"Please set resource file and link type.","لطفا فایل منبع و نوع لینک را تنظیم نمایید."
"Please specify product link(s).","لطفا لینک(های) محصول را مشخص نمایید."
"Price","قیمت"
"Qty","تعداد"
"Refunded","مسترد"
"Remaining Downloads","دانلودهای باقی مانده"
"Remove Item","برداشتن آیتم"
"Requested link does not exist.","لینک درخواست شده وجود ندارد."
"Sample","نمونه"
"Shareable","قابل تسهیم"
"Shipped","ارسال شده"
"Sort Order","ترتیب ردیف"
"Start Download","آغاز دانلود"
"Status","وضعیت"
"The file does not exist.","فایل وجود ندارد."
"The link has expired.","لینک منقضی شده است."
"The link is not available.","لینک در دسترس نیست."
"Title","عنوان"
"To:","تا:"
"U","U"
"Unlimited","نا محدود"
"View Order","مشاهده‌ی سفارش"
"You have not purchased any downloadable products yet.","شما هنوز هیچ محصول دانلودی‌ای نخریده‌اید."
"attachment","الصاق"
"download","دانلود"
"inline","اینلاین"
"sample","نمونه"
