"Keep your eyes open for our special Back to School items and save A LOT!","حواستان را برای محصولات ویژه‌ی آغاز مدارس ما جمع کنید و تخفیف زیادی بگیرید!"
"Best Seller","بهترین فروشنده"
"Special","تخفیف"
"specials","تخفیف"
"Featured","ویژه"
"New Arrival","کاربر جدید"
"Newsletter sign-up","عضویت در خبرنامه"
"Sign Up for Our Newsletter","ثبت نام برای خبرنامه ما"
"Shopping cart","سبد خرید"
"Description","توصیف"
"Setting","محیط"
"Language:","زبان:"
"Currency:","ارز:"
"All Categories","تمام دسته ها"
"View cart","مشاهده سبد خرید"

