"Actions","کنش‌ها"
"Active","فعال"
"Add New Rule","افزودن قانون جدید"
"Apply","اعمال"
"Apply To","اعمال برای"
"Apply the rule only if the following conditions are met (leave blank for all products)","اعمال قانون تنها اگر با شرایط زیر برخورد شد (برای همه‌ی محصولات خالی بگذارید)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","اعمال قانون تنها برای آیتم‌های سبد مطابق با شرایط زیر (برای همه‌ی آیتم‌ها خالی بگذارید)"
"Apply the rule to cart items matching the following conditions","اعمال قانون برای آیتم‌های سبد مطابق با شرایط زیر"
"Apply to Shipping Amount","اعمال برای مبلغ ارسال"
"Auto","خودکار"
"Buy X get Y free (discount amount is Y)","خرید X تا دریافت Y تا رایگان (مبلغ تخفیف Y است)"
"By Fixed Amount","با مبلغ ثابت"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"By Percentage of the Original Price","با درصدی از قیمت اصلی"
"Can\'t acquire coupon.","نمی‌توان کوپن را پیدا کرد."
"Cart Attribute","ویژگی سبد"
"Catalog","کاتالوگ"
"Conditions","شرایط"
"Conditions combination","ترکیب شرط‌ها"
"Coupon","کوپن"
"Coupon Code","کد کوپن"
"Customer Groups","گروه‌های مشتری"
"Customer is new buyer: %s","مشتری خریدار جدید است: %s"
"Customer registered: %s","مشتری عضو: %s"
"Date Expire","تاریخ انقضا"
"Date Start","تاریخ شروع"
"Default Label","برچسب پیش فرض"
"Default Rule Label for All Store Views","برچسب قانون پیش فرض برای همه‌ی نماهای فروشگاه"
"Delete Rule","حذف قانون"
"Description","توصیف"
"Description: %s","توصیف: %s"
"Discount Amount","مبلغ تخفیف"
"Discount Qty Step (Buy X)","مرحله‌ی تعداد تخفیف (خرید X)"
"Edit Rule","ویرایش قانون"
"Edit Rule '%s'","ویرایش قانون '%s'"
"Expire at: %s","انقضا در: %s"
"Fixed amount discount","تخفیف مبلغ ثابت"
"Fixed amount discount for whole cart","تخفیف مبلغ ثابت برای کل کارت"
"For matching items only","تنها برای تطابق آیتم‌ها"
"For shipment with matching items","برای محموله با آیتم‌های مطابق"
"Free Shipping","ارسال رایگان"
"From Date","از تاریخ"
"General Information","اطلاعات عمومی"
"ID","شناسه"
"Inactive","غیرفعال"
"Labels","برچسب‌ها"
"Maximum Qty Discount is Applied To","بیشینه تخفیف تعداد اعمال شده است برای"
"NOT LOGGED IN","وارد نشده"
"Name: %s","نام: %s"
"New Rule","قانون جدید"
"No","خیر"
"No Coupon","بدون کوپن"
"Number of Uses","تعداد استفاده‌ها"
"Payment Method","روش پرداخت"
"Percent of product price discount","تخفیف درصد قیمت محصول"
"Period","دوره"
"Price in cart","قیمت در سبد"
"Priority","اولویت"
"Product attribute combination","ترکیب ویژگی محصول"
"Products subselection","زیر انتخاب محصولات"
"Promotions","تبلیغات"
"Public In RSS Feed","عمومی در فید RSS"
"Quantity in cart","تعداد در سبد"
"Row total in cart","جمع سطر در سبد"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Sales Discount Amount","مبلغ تخفیف فروش‌ها"
"Sales Subtotal Amount","مبلغ  جمع جز فروش‌ها"
"Sales Total Amount","مبلغ کل فروش‌ها"
"Save Rule","ذخیره‌ی قانون"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Shipping Country","کشور ارسال"
"Shipping Method","روش ارسال"
"Shipping Postcode","کد پستی ارسال"
"Shipping Region","منطقه ارسال"
"Shipping State/Province","ایالت/استان ارسال"
"Shopping Cart Price Rule","قانون قیمت سبد خرید"
"Shopping Cart Price Rules","قوانین قیمت سبد خرید"
"Special Price","قیمت ویژه"
"Specific Coupon","کوپن خاص"
"Start at: %s","شروع در: %s"
"Status","وضعیت"
"Stop Further Rules Processing","توقف پیشرفت پردازش قوانین"
"Store View Specific Labels","برچسب‌های خاص نمای فروشگاه"
"Subtotal","جمع جز"
"Subtotal Amount","مبلغ جمع جز"
"The rule has been deleted.","قانون حذف شد."
"The rule has been saved.","قانون ذخیره شد."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"To Date","تا تاریخ"
"To Fixed Amount","به مبلغ ثابت"
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"To Percentage of the Original Price","به درصدی از قیمت اصلی"
"Total","مجموع"
"Total Amount","مبلغ کل"
"Total Items Quantity","تعداد کل آیتم‌ها"
"Total Weight","مجموع وزن"
"Unable to find a rule to delete.","ناتوان در یافتن یک قانون برای حذف."
"Update Prices Using the Following Information","به روز رسانی قیمت‌ها با استفاده از اطلاعات زیر"
"Update prices using the following information","به روز رسانی قیمت‌ها با استفاده از اطلاعات زیر"
"Update product's %s %s: %s","به روز رسانی %s %s محصولات: %s"
"Update the Product","به روز رسانی محصول"
"Uses per Coupon","استفاده بر کوپن"
"Uses per Customer","استفاده بر مشتری"
"Wrong rule specified.","قانون مشخص شده‌ی اشتباه."
"Yes","بلی"
