"Actions","کنش‌ها"
"Active","فعال"
"Add New Rule","افزودن قانون جدید"
"An error occurred while deleting the rule. Please review the log and try again.","یک خطا در حین حذف قانون رخ داد. لطفا گزارش را باز بینی نموده و دوباره سعی نمایید."
"An error occurred while saving the rule data. Please review the log and try again.","یک خطا در حین ذخیره سازی داده‌ی قانون رخ داد. لطفا گزارش را باز بینی نموده و دوباره سعی نمایید."
"Apply Rules","اعمال قوانین"
"Attribute Set","مجموعه ویژگی"
"Catalog","کاتالوگ"
"Catalog Price Rule","قانون قیمت کاتالوگ"
"Catalog Price Rules","قوانین قیمت کاتالوگ"
"Category","رده"
"Conditions","شرایط"
"Conditions (leave blank for all products)","شرایط (برای همه‌ی محصولات خالی بگذارید)"
"Conditions Combination","ترکیب شرط‌ها"
"Customer Groups","گروه‌های مشتری"
"Customer Registered: %s","مشتری عضو: %s"
"Customer is a New Buyer: %s","مشتری یک خریدار جدید است: %s"
"Date Expire","تاریخ انقضا"
"Date From","تاریخ از"
"Date Start","تاریخ شروع"
"Date To","تاریخ تا"
"Delete Rule","حذف قانون"
"Description","توصیف"
"Description: %s","توصیف: %s"
"Edit Rule","ویرایش قانون"
"Edit Rule '%s'","ویرایش قانون '%s'"
"Expire at: %s","انقضا در: %s"
"From Date","از تاریخ"
"General Information","اطلاعات عمومی"
"ID","شناسه"
"Inactive","غیرفعال"
"NOT LOGGED IN","وارد نشده"
"Name: %s","نام: %s"
"New Rule","قانون جدید"
"No","خیر"
"Options","گزینه‌ها"
"Priority","اولویت"
"Product Attribute","ویژگی محصول"
"Promotions","تبلیغات"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Save Rule","ذخیره‌ی قانون"
"Save and Apply","ذخیره و اعمال"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Start at: %s","شروع در: %s"
"Status","وضعیت"
"Stop Further Rules Processing","توقف پیشرفت پردازش قوانین"
"The rule has been deleted.","قانون حذف شد."
"The rule has been saved.","قانون ذخیره شد."
"The rules have been applied.","قوانین اعمال شدند."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","قوانینی وجود دارند که تغییر داده شده‌اند اما اعمال نشده بودند. لطفا، برای دیدن اثر فوری در کاتالوگ، اعمال قوانین را کلیک نمایید."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"To Date","تا تاریخ"
"Unable to apply rules.","ناتوان در اعمال قوانین."
"Unable to find a rule to delete.","ناتوان در یافتن یک قانون برای حذف."
"Update product's %s %s: %s","به روز رسانی %s %s محصول: %s"
"Websites","وب‌سایت‌ها"
"Wrong rule specified.","قانون مشخص شده‌ی اشتباه."
"Yes","بلی"
