"Account Login","ورود حساب"
"Account Password","گذرواژه‌ی حساب"
"Account Type","نوع حساب"
"Active","فعال"
"Add Attribute Mapping","افزودن مپینگ ویژگی"
"Add New Attribute","افزودن ویژگی جدید"
"Add to Google Base","افزودن به Google Base"
"Are you sure?","شما مطمئن‌اید؟"
"Attribute","ویژگی"
"Attribute Set","مجموعه ویژگی"
"Attribute Set and Item Type","مجموعه ویژگی و نوع آیتم"
"Attributes","ویژگی‌ها"
"Attributes Mapping","مپینگ ویژگی‌ها"
"Attributes Set","مجموعه ویژگی‌ها"
"AuthSub","AuthSub"
"Available Products","محصولات موجود"
"British Pound Sterling","پوند استرلینگ بریتانیا"
"Cannot update Google Base Item for Store '%s'","نمی‌توان آیتم Google Base برای فروشگاه '%s' را به روز رسانی کرد"
"Captcha confirmation error: %s","خطای تایید Captcha: %s"
"Captcha has been confirmed.","Captcha تایید شد."
"Catalog","کاتالوگ"
"Clicks","کلیک‌ها"
"ClientLogin","ورودکاربر"
"Confirm","تایید"
"Current Mapping will be reloaded. Continue?","مپینگ جاری دوباره بارگذاری خواهد شد. ادامه؟"
"Custom attribute, no mapping","ویژگی سفارش، بدون مپینگ"
"Delete","حذف"
"Delete Mapping","حذف مپینگ"
"Edit Item Type","ویرایش نوع آیتم"
"Edit Item Type ""%s""","ویرایش نوع آیتم "" %s"""
"Error: %s","خطا: %s"
"Euro","یورو"
"Expires","منقضی شد"
"Germany","آلمان"
"Google","گوگل"
"Google Base","Google Base"
"Google Base Attribute","ویژگی Google Base"
"Google Base ID","شناسه‌ی Google Base"
"Google Base Item Type","نوع آیتم Google Base"
"Google Base Item type","نوع آیتم Google Base"
"Google Base Items","آیتم‌های Google Base"
"Google base","Google base"
"Hide","پنهان"
"Hosted","میزبانی"
"Hosted or Google","میزبانی یا گوگل"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","مدل محصول نامعتبر برای آیتم Google Base"
"Item Type was deleted","نوع آیتم حذف شده بود"
"Item Types","انوع آیتم"
"Item model is not specified to delete Google Base entry.","مدل آیتم برای حذف عنصر Google Base مشخص شده نیست."
"Items","آیتم‌ها"
"Manage Attribute Mapping","مدیریت مپینگ ویژگی"
"Manage Attributes","مدیریت ویژگی‌ها"
"Manage Items","مدیریت آیتم‌ها"
"New Item Type","نوع آیتم جدید"
"New ItemType","نوع آیتم جدید"
"No","خیر"
"No items were deleted from Google Base","آیتمی از Google Base حذف نشده بود"
"No items were published","آیتمی منتشر نشده بود"
"No items were saved as inactive items","آیتمی به عنوان آیتم غیرفعال ذخیره نشده بود"
"No products were added to Google Base","محصولی به Google Base افزوده نشده بود"
"Object model is not specified to save Google Base entry.","مدل شی برای ذخیره‌ی عنصر Google Base مشخص شده نیست."
"Page views","مشاهدات صفحه"
"Please, select Attribute Set and Google Item Type to load attributes","لطفا، برای بارگذاری ویژگی‌ها مجموعه ویژگی و نوع آیتم گوگل را انتخاب نمایید"
"Product Name","نام محصول"
"Publish","انتشار"
"Published","منتشر شده"
"Remove","برداشتن"
"Save Mapping","ذخیره‌ی مپینگ"
"Session expired during export. Please revise exported products and repeat the process if necessary.","در طی صدور نشست منقضی شد. لطفا محصولات صادر شده را تجدید نظر نموده و در صورت لزوم فرایند را تکرار نمایید"
"Synchronize","هم زمان سازی"
"Target Country","کشور هدف"
"The item type has been saved.","نوع آیتم ذخیره شد."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","این کنش آمار آیتم‌ها را به روز خواهد کرد و آیتم‌هایی را که در Google Base موجود نیستند برمی‌دارد. ادامه؟"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","مجموع %d آیتم حذف شد(ند)؛ مجموع %d رکورد به روز شد(ند)."
"Total of %d items(s) have been published.","مجموع %d آیتم منتشر شد(ند)."
"Total of %d items(s) have been removed from Google Base.","مجموع %d آیتم از Google Base برداشته شد(ند)."
"Total of %d items(s) have been saved as inactive items.","مجموع %d آیتم به عنوان آیتم‌های غیرفعال ذخیره شد(ند)."
"Total of %d product(s) have been added to Google Base.","مجموع %d محصول به Google Base افزوده شد(ند)."
"US Dollar","دلار آمریکا"
"Unable to connect to Google Base. Please, check Account settings in configuration.","ناتوان در اتصال به Google Base. لطفا، تنظیمات حساب را در پیکربندی بررسی نمایید."
"Unable to select a Store View.","ناتوان در انتخاب یک نمای فروشگاه."
"United Kingdom","پادشاهی متحده"
"United States","ایالات متحده"
"Update Google Base Item when Product is Updated","به روز رسانی آیتم Google Base هنگامی که محصول به روز شده است"
"View Available Products","مشاهده‌ی محصولات موجود"
"View Item in Google Base","مشاهده‌ی آیتم در Google Base"
"Yes","بلی"
