"%s is not a supported currency.","%s یک ارز پشتیبانی شده نیست."
"Accept","پذیرفتن"
"Basic","ابتدایی"
"Cannot retrieve rate from %s to %s.","نمی‌توان نرخ را از %s تا %s بازیابی کرد."
"Cannot retrieve rate from Strikeiron.","نمی‌توان نرخ را از Strikeiron بازیابی کرد."
"Check All Email Servers","بررسی همه‌ی سرورهای ایمیل"
"Complete","کامل"
"Country/Region/Postal Code Combination","ترکیب کشور/منطقه/کد پستی"
"Customer Tax Class","کلاس مالیاتی مشتری"
"Email Verification","تایید ایمیل"
"Enable Email Verification","تایید ایمیل ممکن"
"Enable Foreign Exchange Rate","نرخ مبادله‌ی خارجی ممکن"
"Enable Global Address Verification","تایید آدرس سراسری ممکن"
"Enable Sales and Use Tax","فروش‌ها و استفاده‌ی مالیات ممکن"
"Enable US Address Verification","تایید آدرس ایالات متحده ممکن"
"Error Address Action","کنش خطای آدرس"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"Foreign Exchange Rates","نرخ‌های مبادله‌ی خارجی"
"Global Address Verification","تایید آدرس سراسری"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","اگر نوع کامل است و کد پستی به نرخ‌های چند مالیاتی تعلق دارد، برای شارژ کمینه نرخ مالیات یا بیشینه نرخ مالیات انتخاب کنید."
"Invalid email address.","آدرس ایمیل نامعتبر."
"Maximum Tax Rate","بیشینه نرخ مالیات"
"Minimum Tax Rate","کمینه نرخ مالیات"
"Password","گذرواژه"
"Pop up warning and accept","اخطار و پذیرفتن بالاپر"
"Product Tax Class","کلاس مالیاتی محصول"
"Reject","رد کردن"
"Sales and Use Tax","فروش‌ها و استفاده‌ی مالیات"
"Sales and Use Tax Type","فروش‌ها و نوع استفاده‌ی مالیات"
"Strikeiron","Strikeiron"
"Strikeiron Config","پیکربندی Strikeiron"
"Strikeiron Section","بخش Strikeiron"
"Strikeiron foreign exchange rate is disabled.","نرخ مبادله‌ی خارجی Strikeiron ناممکن شده است."
"Tax","مالیات"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","آدرس ایمیل نمی‌تواند تایید شود. لطفا دوباره بررسی نمایید و اطمینان حاصل نمایید آدرس ایمیل‌تان به درستی وارد شده است."
"There are no more hits remaining for the foreign Exchange Rate Service.","هیچ بازدید باقی مانده‌ی بیشتری برای سرویس نرخ مبادله‌ی خارجی وجود ندارد."
"There is an error in retrieving the tax rate. Please contact us.","یک خطا در بازیابی نرخ مالیات وجود دارد. لطفا با ما تماس بگیرید."
"There is an error in verifying an email. Please contact us.","یک خطا در تایید یک ایمیل وجود دارد. لطفا با ما تماس بگیرید."
"There is no response back from Strikeiron server.","هیچ پاسخ برگشتی از سرور Strikeiron وجود ندارد."
"US Address Verification","تایید آدرس ایالات متحده"
"Undetermined Email Action","کنش ایمیل نامعین"
"Use","استفاده"
"User ID","شناسه‌ی کاربر"
"Verify Address in Admin","تایید آدرس در مدیریت"
"Verify Email in Admin","تایید ایمیل در مدیریت"
